"Mirror cloak" src="//i.imgur.com/WCztONA.png" 
"Pharaoh's Requiem" src="//i.imgur.com/wcUJKHq.png" 
"Recursion Mace" src="//i.imgur.com/5FgJ296.png" 
"Mace of the Celestial Forest" src="//i.imgur.com/6KSXzTZ.png" 
"Crystal Mace" src="//i.imgur.com/Gy4nB24.png" 
"Mace of the Depths" src="//i.imgur.com/XPMdiKq.png" 
"Hivemind Mace" src="//i.imgur.com/bFzLQ4N.png" 
"Cloak of the Mad God" src="//i.imgur.com/5wzATeW.png" 
"Cloak of Winter" src="//i.imgur.com/e11lEVq.png" 
"Cloak of the Darkened Sun" src="//i.imgur.com/CfblKuv.png" 
"Coalbearing Quiver" src="//i.imgur.com/007CEAV.png" 
"Mad Javelin" src="//i.imgur.com/lCQHhIA.png" 
"Freezing Quiver" src="//i.imgur.com/VVicZY4.png" 
"Random Spell Extraction Device" src="//i.imgur.com/VOm8Qg0.png" 
"Thousand Suns Spell" src="//i.imgur.com/2nZ8zhj.png" 
"Vitamine Buster" src="//i.imgur.com/BaRONsm.png" 
"Jade Storm" src="//i.imgur.com/w8lcI3O.png" 
"Vigil Spell" src="//i.imgur.com/IHx9Obi.png" 
"Cursed Spire Spell" src="//i.imgur.com/FQTgblm.png" 
"Tome of Holy Furor" src="//i.imgur.com/Qnu3uUJ.png" 
"Tome of Frigid Protection" src="//i.imgur.com/O4ImD4j.png" 
"Nativity Tome" src="//i.imgur.com/6P4jYrD.png" 
"Tome of the Tarnished Gods" src="//i.imgur.com/KH4laHN.png" 
"Botany Book" src="//i.imgur.com/H29ztrQ.png" 
"Helm of the Swift Bunny" src="//i.imgur.com/BSAd8oG.png" 
"Pathfinder's Helm" src="//i.imgur.com/ePNBUbG.png" 
"Helm of Exalted Might" src="//i.imgur.com/vW9Hygc.png" 
"Helm of the Jack-o'-naut" src="//i.imgur.com/4q0BFA3.png" 
"Shield of Flowing Clarity" src="//i.imgur.com/09x1vXn.png" 
"Resounding Shield" src="//i.imgur.com/9dqQb0W.png" 
"Brutal Buckler" src="//i.imgur.com/snSEn5r.png" 
"Advent Seal" src="//i.imgur.com/eRvwhB1.png" 
"Seal of the Battle God" src="//i.imgur.com/rpYgiBQ.png" 
"Holly Poison" src="//i.imgur.com/uh5xbba.png" 
"Tyrant's Toxin" src="//i.imgur.com/rvhwPXq.png" 
"Skull of Krampus" src="//i.imgur.com/0m3OF8c.png" 
"Demon Lord's Skull" src="//i.imgur.com/Kqp1Cdz.png" 
"Painbow" src="//i.imgur.com/pPQY89W.png" 
"Greedsnatcher Trap" src="//i.imgur.com/kHvXLPb.png" 
"Blacklight Artifice" src="//i.imgur.com/le6qERv.png" 
"Mimicry Trap" src="//i.imgur.com/utSCqep.png" 
"Trap of the Blood Spirit" src="//i.imgur.com/LTubHGN.png" 
"Snowbound Orb" src="//i.imgur.com/qp4Gmh4.png" 
"Orb of Conquest" src="//i.imgur.com/GrPUOoz.png" 
"Orb of Terror" src="//i.imgur.com/NPxdXi5.png" 
"Heart of Gold Prism" src="//i.imgur.com/lhFfgkt.png" 
"Ornamental Prism" src="//i.imgur.com/lbgl4cM.png" 
"Prism of Shattered Light" src="//i.imgur.com/LFPSulN.png" 
"Prismimic" src="//i.imgur.com/u2dVev5.png" 
"Scepter of Sainthood" src="//i.imgur.com/jhYy5w2.png" 
"Siege Scepter" src="//i.imgur.com/O45xxYH.png" 
"Clover Star" src="//i.imgur.com/xyftoXy.png" 
"Ilex Star" src="//i.imgur.com/vNMTWud.png" 
"Rage Claws" src="//i.imgur.com/221K3g6.png" 
"Sakura Wakizashi" src="//i.imgur.com/0iOLf0D.png" 
"Peppermint Wakizashi" src="//i.imgur.com/VKsC7uC.png" 
"Amaterasu" src="//i.imgur.com/gpq6EXr.png" 
"Oryxmas Carol" src="//i.imgur.com/9bSZEgI.png" 
"Chief's War Horn" src="//i.imgur.com/DCGwhPx.png" 
"Mace of the North Pole" src="//i.imgur.com/b4amTK7.png" 
"Mechanical Mace" src="//i.imgur.com/J7f2bA9.png" 
"Incubation Mace" src="//i.imgur.com/htBNyJm.png" 
"Tablet of the King’s Avatar" src="//i.imgur.com/hUkQXY6.png" 
"Oryx’s Escutcheon" src="//i.imgur.com/oyL9xSt.png" 
"Scholar’s Seal" src="//i.imgur.com/YLj6XLl.png" 
"Crystallised Fang’s Venom" src="//i.imgur.com/M58iIk2.png" 
"Fool’s Prism" src="//i.imgur.com/5J1a9JM.png" 
"Gambler’s Fate" src="//i.imgur.com/ZQTDWH3.png" 
"Ronin’s Wakizashi" src="//i.imgur.com/pPz0ttB.png" 
"Pharaoh’s Requiem" src="//i.imgur.com/wcUJKHq.png" 
"Pathfinder’s Helm" src="//i.imgur.com/ePNBUbG.png" 
"Helm of the Jack-o’-naut" src="//i.imgur.com/4q0BFA3.png" 
"Tyrant’s Toxin" src="//i.imgur.com/rvhwPXq.png" 
"Demon Lord’s Skull" src="//i.imgur.com/Kqp1Cdz.png" 
"Chief’s War Horn" src="//i.imgur.com/DCGwhPx.png" 
