"Cloak of Shadows" src="//i.imgur.com/EZZo2nl.png" 
"Adept Mace" src="//i.imgur.com/4cRxW4U.png" 
"Cloak of Endless Twilight" src="//i.imgur.com/tfSIkBb.png" 
"Golden Quiver" src="//i.imgur.com/XFgqCV5.png" 
"Magic Nova Spell" src="//i.imgur.com/gmLqrBK.png" 
"Tome of Divine Favor" src="//i.imgur.com/i9077AE.png" 
"Golden Helm" src="//i.imgur.com/vyWyX1b.png" 
"Mithril Shield" src="//i.imgur.com/G5DefCI.png" 
"Seal of the Holy Warrior" src="//i.imgur.com/zD4KcQ8.png" 
"Nightwing Venom" src="//i.imgur.com/dFYPpvy.png" 
"Lifedrinker Skull" src="//i.imgur.com/5RBuR5y.png" 
"Dragonstalker Trap" src="//i.imgur.com/9c7MZYN.png" 
"Banishment Orb" src="//i.imgur.com/U1vsiyc.png" 
"Prism of Phantoms" src="//i.imgur.com/zwyLyiC.png" 
"Scepter of Skybolts" src="//i.imgur.com/gslGqoL.png" 
"Ice Star" src="//i.imgur.com/AWDqcVz.png" 
"Jade-Imbued Wakizashi" src="//i.imgur.com/YittzJR.png" 
"Regal Lute" src="//i.imgur.com/xKXYSaD.png" 
"Monarch Mace" src="//i.imgur.com/gJs7haL.png" 
"Cloak of Ghostly Concealment" src="//i.imgur.com/vvDokyq.png" 
"Quiver of Elvish Mastery" src="//i.imgur.com/JVpRuPl.png" 
"Elemental Detonation Spell" src="//i.imgur.com/gGXWCi9.png" 
"Tome of Holy Guidance" src="//i.imgur.com/63EtuBe.png" 
"Helm of the Great General" src="//i.imgur.com/vzrYC5J.png" 
"Colossus Shield" src="//i.imgur.com/vuTH2fe.png" 
"Seal of the Blessed Champion" src="//i.imgur.com/xRGtewS.png" 
"Baneserpant Poison" src="//i.imgur.com/GnMp8Q9.png" 
"Bloodsucker Skull" src="//i.imgur.com/WvCtWYR.png" 
"Giantcatcher Trap" src="//i.imgur.com/Vs5zLp8.png" 
"Planefetter Orb" src="//i.imgur.com/FDRA6b5.png" 
"Prism of Apparitions" src="//i.imgur.com/JePn0fw.png" 
"Scepter of Storms" src="//i.imgur.com/DIRbsr6.png" 
"Doom Circle" src="//i.imgur.com/kXK5B0o.png" 
"Royal Wakizashi" src="//i.imgur.com/ycLPRDX.png" 
"Skyward Lute" src="//i.imgur.com/7QhzvyK.png" 
"Sovereign Mace" src="//i.imgur.com/miEDSyj.png" 
"Cloak of Nightmares" src="//i.imgur.com/hp2lfQt.png" 
"Quiver of the Autumn King" src="//i.imgur.com/ExxA8ue.png" 
"Burning Retribution Spell" src="//i.imgur.com/SiQ5Wy5.png" 
"Tome of Hallowed Language" src="//i.imgur.com/zXTGFP0.png" 
"Helm of the Tribune" src="//i.imgur.com/8P8pY5c.png" 
"Shield of Orcish Regalia" src="//i.imgur.com/HsAcTP5.png" 
"Seal of Invocation" src="//i.imgur.com/QC6f0pP.png" 
"Necrofish Poison" src="//i.imgur.com/5nVKM9O.png" 
"Mindwaster Skull" src="//i.imgur.com/u4AT7VV.png" 
"Depthchaser Trap" src="//i.imgur.com/S7s7W4K.png" 
"Dimensiongate Orb" src="//i.imgur.com/jsq5zMC.png" 
"Prism of Reveries" src="//i.imgur.com/slZas3q.png" 
"Scepter of the Firmament" src="//i.imgur.com/gI8eitI.png" 
"Dynastic Star" src="//i.imgur.com/3ihN422.png" 
"Virtuous Wakizashi" src="//i.imgur.com/v6lWa9t.png" 
"Nebular Lute" src="//i.imgur.com/bWsosoU.png" 
"Grandmaster Mace" src="//i.imgur.com/MpXINl6.png" 
"Novice’s Lute" src="//i.imgur.com/AQ1NBE2.png" 
